company,requested_region,normalized_region,region_source,office_label,office_url,review_url,status,failure_reason,discovery_mode,resolved_at
ASUS,"Noisy-le-Grand, A8",noisy le grand a8,office-location,"Noisy-le-Grand, A8","https://www.glassdoor.com/Location/All-ASUS-Noisy-le-Grand-Office-Locations-EI_IE40093.4,8_IL.9,23_IC3100822.htm","https://www.glassdoor.com/Reviews/ASUS-Noisy-le-Grand-Reviews-EI_IE40093.0,4_IL.5,19_IC3100822.htm",resolved,,office-navigation,2026-06-28T15:22:46.768073+08:00
ASUS,"Ratingen, NW",ratingen nw,office-location,"Ratingen, NW","https://www.glassdoor.com/Location/All-ASUS-Ratingen-Office-Locations-EI_IE40093.4,8_IL.9,17_IC2584004.htm","https://www.glassdoor.com/Reviews/ASUS-Ratingen-Reviews-EI_IE40093.0,4_IL.5,13_IC2584004.htm",resolved,,office-navigation,2026-06-28T15:22:50.576658+08:00
ASUS,"Üsküdar, T34",sk dar t34,office-location,"Üsküdar, T34","https://www.glassdoor.com/Location/All-ASUS-Üsküdar-Office-Locations-EI_IE40093.4,8_IL.9,16_IC3361446.htm",https://www.glassdoor.com/Reviews/index.htm,resolved,,office-navigation,2026-06-28T15:23:04.650563+08:00
ASUS,"Warsaw, MZ",warsaw mz,office-location,"Warsaw, MZ","https://www.glassdoor.com/Location/All-ASUS-Warsaw-Office-Locations-EI_IE40093.4,8_IL.9,15_IC3094484.htm",https://www.glassdoor.com/Reviews/index.htm,resolved,,office-navigation,2026-06-28T15:23:09.018136+08:00
ASUS,"Bangkok, 10",bangkok 10,office-location,"Bangkok, 10","https://www.glassdoor.com/Location/All-ASUS-Bangkok-Office-Locations-EI_IE40093.4,8_IL.9,16_IC3179725.htm","https://www.glassdoor.com/Reviews/ASUS-Bangkok-Reviews-EI_IE40093.0,4_IL.5,12_IC3179725.htm",resolved,,office-navigation,2026-06-28T15:23:19.946738+08:00
ASUS,"Dubai, DU",dubai du,office-location,"Dubai, DU","https://www.glassdoor.com/Location/All-ASUS-Dubai-Office-Locations-EI_IE40093.4,8_IL.9,14_IC2204498.htm","https://www.glassdoor.com/Reviews/ASUS-Dubai-Reviews-EI_IE40093.0,4_IL.5,10_IC2204498.htm",resolved,,office-navigation,2026-06-28T15:23:23.8522+08:00
ASUS,"Jakarta, JK",jakarta jk,office-location,"Jakarta, JK","https://www.glassdoor.com/Location/All-ASUS-Jakarta-Office-Locations-EI_IE40093.4,8_IL.9,16_IC2709872.htm","https://www.glassdoor.com/Reviews/ASUS-Jakarta-Reviews-EI_IE40093.0,4_IL.5,12_IC2709872.htm",resolved,,office-navigation,2026-06-28T15:23:30.368469+08:00
ASUS,"Kuala Lumpur, 14",kuala lumpur 14,office-location,"Kuala Lumpur, 14","https://www.glassdoor.com/Location/All-ASUS-Kuala-Lumpur-Office-Locations-EI_IE40093.4,8_IL.9,21_IC2986682.htm","https://www.glassdoor.com/Reviews/ASUS-Kuala-Lumpur-Reviews-EI_IE40093.0,4_IL.5,17_IC2986682.htm",resolved,,office-navigation,2026-06-28T15:23:34.013141+08:00
ASUS,"Manila, D9",manila d9,office-location,"Manila, D9","https://www.glassdoor.com/Location/All-ASUS-Manila-Office-Locations-EI_IE40093.4,8_IL.9,15_IC2363570.htm","https://www.glassdoor.com/Reviews/ASUS-Manila-Reviews-EI_IE40093.0,4_IL.5,11_IC2363570.htm",resolved,,office-navigation,2026-06-28T15:23:40.381208+08:00
ASUS,"Mumbai, MH",mumbai mh,office-location,"Mumbai, MH","https://www.glassdoor.com/Location/All-ASUS-Mumbai-Office-Locations-EI_IE40093.4,8_IL.9,15_IC2851180.htm","https://www.glassdoor.com/Reviews/ASUS-Mumbai-Reviews-EI_IE40093.0,4_IL.5,11_IC2851180.htm",resolved,,office-navigation,2026-06-28T15:23:45.019729+08:00
ASUS,"Seoul, 11",seoul 11,office-location,"Seoul, 11","https://www.glassdoor.com/Location/All-ASUS-Seoul-Office-Locations-EI_IE40093.4,8_IL.9,14_IC3021489.htm","https://www.glassdoor.com/Reviews/ASUS-Seoul-Reviews-EI_IE40093.0,4_IL.5,10_IC3021489.htm",resolved,,office-navigation,2026-06-28T15:23:49.229589+08:00
ASUS,Singapore,singapore,office-location,Singapore,"https://www.glassdoor.com/Location/All-ASUS-Singapore-Office-Locations-EI_IE40093.4,8_IL.9,18_IC3235921.htm","https://www.glassdoor.com/Reviews/ASUS-Singapore-Reviews-EI_IE40093.0,4_IL.5,14_IC3235921.htm",resolved,,office-navigation,2026-06-28T15:23:52.617976+08:00
ASUS,"Taipei, TPQ",taipei tpq,office-location,"Taipei, TPQ","https://www.glassdoor.com/Location/All-ASUS-Taipei-Office-Locations-EI_IE40093.4,8_IL.9,15_IC3271041.htm","https://www.glassdoor.com/Reviews/ASUS-Taipei-Reviews-EI_IE40093.0,4_IL.5,11_IC3271041.htm",resolved,,office-navigation,2026-06-28T15:24:03.750334+08:00
ASUS,"Tokyo, 40",tokyo 40,office-location,"Tokyo, 40","https://www.glassdoor.com/Location/All-ASUS-Tokyo-Office-Locations-EI_IE40093.4,8_IL.9,14_IC2851580.htm","https://www.glassdoor.com/Reviews/ASUS-Tokyo-Reviews-EI_IE40093.0,4_IL.5,10_IC2851580.htm",resolved,,office-navigation,2026-06-28T15:24:08.799496+08:00
ASUS,"San Isidro, HUC",san isidro huc,office-location,"San Isidro, HUC","https://www.glassdoor.com/Location/All-ASUS-San-Isidro-Office-Locations-EI_IE40093.4,8_IL.9,19_IC4694011.htm",https://www.glassdoor.com/Reviews/index.htm,resolved,,office-navigation,2026-06-28T15:24:13.868926+08:00
ASUS,"Santiago, RM",santiago rm,office-location,"Santiago, RM","https://www.glassdoor.com/Location/All-ASUS-Santiago-Office-Locations-EI_IE40093.4,8_IL.9,17_IC2434030.htm","https://www.glassdoor.com/Reviews/ASUS-Santiago-Reviews-EI_IE40093.0,4_IL.5,13_IC2434030.htm",resolved,,office-navigation,2026-06-28T15:24:19.083723+08:00
ASUS,"São Paulo, SP",s o paulo sp,office-location,"São Paulo, SP","https://www.glassdoor.com/Location/All-ASUS-São-Paulo-Office-Locations-EI_IE40093.4,8_IL.9,18_IC2479061.htm","https://www.glassdoor.com/Reviews/ASUS-São-Paulo-Reviews-EI_IE40093.0,4_IL.5,14_IC2479061.htm",resolved,,office-navigation,2026-06-28T15:24:24.57036+08:00
ASUS,"Sydney, NSW",sydney nsw,office-location,"Sydney, NSW","https://www.glassdoor.com/Location/All-ASUS-Sydney-Office-Locations-EI_IE40093.4,8_IL.9,15_IC2235932.htm","https://www.glassdoor.com/Reviews/ASUS-Sydney-Reviews-EI_IE40093.0,4_IL.5,11_IC2235932.htm",resolved,,office-navigation,2026-06-28T15:24:30.22842+08:00
ASUS,"Austin, TX",austin tx,office-location,"Austin, TX","https://www.glassdoor.com/Location/All-NVIDIA-Austin-Office-Locations-EI_IE7633.4,10_IL.11,17_IC1139761.htm","https://www.glassdoor.com/Reviews/ASUS-Austin-Reviews-EI_IE40093.0,4_IL.5,11_IC1139761.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T15:40:57.23004+08:00
ASUS,"Beaverton, OR",beaverton or,office-location,"Beaverton, OR","https://www.glassdoor.com/Location/All-NVIDIA-Beaverton-Office-Locations-EI_IE7633.4,10_IL.11,20_IC1151576.htm","https://www.glassdoor.com/Reviews/ASUS-Beaverton-Reviews-EI_IE40093.0,4_IL.5,14_IC1151576.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T15:41:02.216883+08:00
ASUS,"Bellevue, WA",bellevue wa,office-location,"Bellevue, WA","https://www.glassdoor.com/Location/All-NVIDIA-Bellevue-Office-Locations-EI_IE7633.4,10_IL.11,19_IC1150442.htm","https://www.glassdoor.com/Reviews/ASUS-Bellevue-Reviews-EI_IE40093.0,4_IL.5,13_IC1150442.htm",resolved,,pool-location-id,2026-06-28T15:41:06.711484+08:00
ASUS,"Durham, NC",durham nc,office-location,"Durham, NC","https://www.glassdoor.com/Location/All-NVIDIA-Durham-Office-Locations-EI_IE7633.4,10_IL.11,17_IC1138697.htm","https://www.glassdoor.com/Reviews/ASUS-Durham-Reviews-EI_IE40093.0,4_IL.5,11_IC1138697.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T15:41:11.38656+08:00
ASUS,"Hillsboro, OR",hillsboro or,office-location,"Hillsboro, OR","https://www.glassdoor.com/Location/All-NVIDIA-Hillsboro-Office-Locations-EI_IE7633.4,10_IL.11,20_IC1151603.htm","https://www.glassdoor.com/Reviews/ASUS-Hillsboro-Reviews-EI_IE40093.0,4_IL.5,14_IC1151603.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T15:41:15.43047+08:00
ASUS,"Redmond, WA",redmond wa,office-location,"Redmond, WA","https://www.glassdoor.com/Location/All-NVIDIA-Redmond-Office-Locations-EI_IE7633.4,10_IL.11,18_IC1150499.htm","https://www.glassdoor.com/Reviews/ASUS-Redmond-Reviews-EI_IE40093.0,4_IL.5,12_IC1150499.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T15:41:19.304102+08:00
ASUS,"Saint Louis, MO",saint louis mo,office-location,"Saint Louis, MO","https://www.glassdoor.com/Location/All-NVIDIA-Saint-Louis-Office-Locations-EI_IE7633.4,10_IL.11,22_IC1131270.htm","https://www.glassdoor.com/Reviews/ASUS-Saint-Louis-Reviews-EI_IE40093.0,4_IL.5,16_IC1131270.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T15:41:23.640003+08:00
ASUS,"San Francisco, CA",san francisco ca,office-location,"San Francisco, CA","https://www.glassdoor.com/Location/All-NVIDIA-San-Francisco-Office-Locations-EI_IE7633.4,10_IL.11,24_IC1147401.htm","https://www.glassdoor.com/Reviews/ASUS-San-Francisco-Reviews-EI_IE40093.0,4_IL.5,18_IC1147401.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T15:41:29.870719+08:00
ASUS,"San Jose, CA",san jose,office-location,"San Jose, CA","https://www.glassdoor.com/Location/All-NVIDIA-San-Jose-Office-Locations-EI_IE7633.4,10_IL.11,19_IC1147436.htm","https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm",resolved,,pool-location-id,2026-06-28T15:41:33.757391+08:00
ASUS,"Santa Clara, CA",santa clara ca,office-location,"Santa Clara, CA","https://www.glassdoor.com/Location/All-NVIDIA-Santa-Clara-Office-Locations-EI_IE7633.4,10_IL.11,22_IC1147439.htm","https://www.glassdoor.com/Reviews/ASUS-Santa-Clara-Reviews-EI_IE40093.0,4_IL.5,16_IC1147439.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T15:41:37.926889+08:00
ASUS,"Toronto, ON",toronto on,office-location,"Toronto, ON","https://www.glassdoor.com/Location/All-NVIDIA-Toronto-Office-Locations-EI_IE7633.4,10_IL.11,18_IC2281069.htm","https://www.glassdoor.com/Reviews/ASUS-Toronto-Reviews-EI_IE40093.0,4_IL.5,12_IC2281069.htm",resolved,,pool-location-id,2026-06-28T08:37:58.994756+00:00
ASUS,"Westford, MA",westford ma,office-location,"Westford, MA","https://www.glassdoor.com/Location/All-NVIDIA-Westford-Office-Locations-EI_IE7633.4,10_IL.11,19_IC1154720.htm","https://www.glassdoor.com/Reviews/ASUS-Westford-Reviews-EI_IE40093.0,4_IL.5,13_IC1154720.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:40:35.248060+00:00
ASUS,"Moscow, 48",moscow 48,office-location,"Moscow, 48","https://www.glassdoor.com/Location/All-NVIDIA-Moscow-Office-Locations-EI_IE7633.4,10_IL.11,17_IC3348306.htm","https://www.glassdoor.com/Reviews/ASUS-Moscow-Reviews-EI_IE40093.0,4_IL.5,11_IC3348306.htm",resolved,,pool-location-id,2026-06-28T08:40:42.327607+00:00
ASUS,"Munich, BY",munich by,office-location,"Munich, BY","https://www.glassdoor.com/Location/All-NVIDIA-Munich-Office-Locations-EI_IE7633.4,10_IL.11,17_IC4990924.htm","https://www.glassdoor.com/Reviews/ASUS-Munich-Reviews-EI_IE40093.0,4_IL.5,11_IC4990924.htm",resolved,,pool-location-id,2026-06-28T08:40:49.483408+00:00
ASUS,"Reading, ENG",reading eng,office-location,"Reading, ENG","https://www.glassdoor.com/Location/All-NVIDIA-Reading-Office-Locations-EI_IE7633.4,10_IL.11,18_IC2675152.htm","https://www.glassdoor.com/Reviews/ASUS-Reading-Reviews-EI_IE40093.0,4_IL.5,12_IC2675152.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:40:57.073523+00:00
ASUS,"Zürich, ZH",z rich zh,office-location,"Zürich, ZH","https://www.glassdoor.com/Location/All-NVIDIA-Zürich-Office-Locations-EI_IE7633.4,10_IL.11,17_IC3297851.htm","https://www.glassdoor.com/Reviews/ASUS-Z%C3%BCrich-Reviews-EI_IE40093.0,4_IL.5,11_IC3297851.htm",resolved,,pool-location-id,2026-06-28T08:41:03.483080+00:00
ASUS,"Bengaluru, KA",bengaluru ka,office-location,"Bengaluru, KA","https://www.glassdoor.com/Location/All-NVIDIA-Bengaluru-Office-Locations-EI_IE7633.4,10_IL.11,20_IC2940587.htm","https://www.glassdoor.com/Reviews/ASUS-Bengaluru-Reviews-EI_IE40093.0,4_IL.5,14_IC2940587.htm",resolved,,pool-location-id,2026-06-28T08:41:10.089691+00:00
ASUS,"Hsinchu, TXG",hsinchu txg,office-location,"Hsinchu, TXG","https://www.glassdoor.com/Location/All-NVIDIA-Hsinchu-Office-Locations-EI_IE7633.4,10_IL.11,18_IC4915323.htm","https://www.glassdoor.com/Reviews/ASUS-Hsinchu-Reviews-EI_IE40093.0,4_IL.5,12_IC4915323.htm",resolved,,pool-location-id,2026-06-28T08:41:16.855066+00:00
ASUS,"Pudong, 23",pudong 23,office-location,"Pudong, 23","https://www.glassdoor.com/Location/All-NVIDIA-Pudong-Office-Locations-EI_IE7633.4,10_IL.11,17_IC2415109.htm","https://www.glassdoor.com/Reviews/ASUS-Pudong-Reviews-EI_IE40093.0,4_IL.5,11_IC2415109.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:41:23.202619+00:00
ASUS,"Pune, MH",pune mh,office-location,"Pune, MH","https://www.glassdoor.com/Location/All-NVIDIA-Pune-Office-Locations-EI_IE7633.4,10_IL.11,15_IC2856202.htm","https://www.glassdoor.com/Reviews/ASUS-Pune-Reviews-EI_IE40093.0,4_IL.5,9_IC2856202.htm",resolved,,pool-location-id,2026-06-28T08:41:29.142112+00:00
ASUS,"Shanghai, 23",shanghai 23,office-location,"Shanghai, 23","https://www.glassdoor.com/Location/All-NVIDIA-Shanghai-Office-Locations-EI_IE7633.4,10_IL.11,19_IC2416009.htm","https://www.glassdoor.com/Reviews/ASUS-Shanghai-Reviews-EI_IE40093.0,4_IL.5,13_IC2416009.htm",resolved,,pool-location-id,2026-06-28T08:41:35.768215+00:00
ASUS,"San Jose, MP",san jose mp,office-location,"San Jose, CA","https://www.glassdoor.com/Location/All-NVIDIA-San-Jose-Office-Locations-EI_IE7633.4,10_IL.11,19_IC1147436.htm","https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm",resolved,,pool-location-id,2026-06-28T08:41:42.481243+00:00
ASUS,"Frankfurt am Main, HE",frankfurt am main he,office-location,"Frankfurt am Main, HE","https://www.glassdoor.com/Location/All-Micro-Star-International-Frankfurt-am-Main-Office-Locations-EI_IE41141.4,28_IL.29,46_IC2632180.htm","https://www.glassdoor.com/Reviews/ASUS-Frankfurt-am-Main-Reviews-EI_IE40093.0,4_IL.5,22_IC2632180.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:41:49.407579+00:00
ASUS,"Boise, ID",boise id,office-location,"Boise, ID","https://www.glassdoor.com/Location/All-HP-Inc-Boise-Office-Locations-EI_IE1093161.4,10_IL.11,16_IC1127927.htm","https://www.glassdoor.com/Reviews/ASUS-Boise-Reviews-EI_IE40093.0,4_IL.5,10_IC1127927.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:41:56.022448+00:00
ASUS,"Corvallis, OR",corvallis or,office-location,"Corvallis, OR","https://www.glassdoor.com/Location/All-HP-Inc-Corvallis-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC1151455.htm","https://www.glassdoor.com/Reviews/ASUS-Corvallis-Reviews-EI_IE40093.0,4_IL.5,14_IC1151455.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:42:02.461900+00:00
ASUS,"Fort Collins, CO",fort collins co,office-location,"Fort Collins, CO","https://www.glassdoor.com/Location/All-HP-Inc-Fort-Collins-Office-Locations-EI_IE1093161.4,10_IL.11,23_IC1148233.htm","https://www.glassdoor.com/Reviews/ASUS-Fort-Collins-Reviews-EI_IE40093.0,4_IL.5,17_IC1148233.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:42:08.474670+00:00
ASUS,"Guadalajara, JAL",guadalajara jal,office-location,"Guadalajara, JAL","https://www.glassdoor.com/Location/All-HP-Inc-Guadalajara-Office-Locations-EI_IE1093161.4,10_IL.11,22_IC3486357.htm","https://www.glassdoor.com/Reviews/ASUS-Guadalajara-Reviews-EI_IE40093.0,4_IL.5,16_IC3486357.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:42:14.701603+00:00
ASUS,"Houston, TX",houston tx,office-location,"Houston, TX","https://www.glassdoor.com/Location/All-HP-Inc-Houston-Office-Locations-EI_IE1093161.4,10_IL.11,18_IC1140171.htm","https://www.glassdoor.com/Reviews/ASUS-Houston-Reviews-EI_IE40093.0,4_IL.5,12_IC1140171.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:42:21.825121+00:00
ASUS,"Palo Alto, CA",palo alto ca,office-location,"Palo Alto, CA","https://www.glassdoor.com/Location/All-HP-Inc-Palo-Alto-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC1147434.htm","https://www.glassdoor.com/Reviews/ASUS-Palo-Alto-Reviews-EI_IE40093.0,4_IL.5,14_IC1147434.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:42:29.358323+00:00
ASUS,"Portland, OR",portland or,office-location,"Portland, OR","https://www.glassdoor.com/Location/All-HP-Inc-Portland-Office-Locations-EI_IE1093161.4,10_IL.11,19_IC1151614.htm","https://www.glassdoor.com/Reviews/ASUS-Portland-Reviews-EI_IE40093.0,4_IL.5,13_IC1151614.htm",resolved,,pool-location-id,2026-06-28T08:42:35.654180+00:00
ASUS,"San Diego, CA",san diego ca,office-location,"San Diego, CA","https://www.glassdoor.com/Location/All-HP-Inc-San-Diego-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC1147311.htm","https://www.glassdoor.com/Reviews/ASUS-San-Diego-Reviews-EI_IE40093.0,4_IL.5,14_IC1147311.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:42:42.180854+00:00
ASUS,"Spring, TX",spring tx,office-location,"Spring, TX","https://www.glassdoor.com/Location/All-HP-Inc-Spring-Office-Locations-EI_IE1093161.4,10_IL.11,17_IC1140222.htm","https://www.glassdoor.com/Reviews/ASUS-Spring-Reviews-EI_IE40093.0,4_IL.5,11_IC1140222.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:42:58.648674+00:00
ASUS,"Sunnyvale, CA",sunnyvale ca,office-location,"Sunnyvale, CA","https://www.glassdoor.com/Location/All-HP-Inc-Sunnyvale-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC1147442.htm","https://www.glassdoor.com/Reviews/ASUS-Sunnyvale-Reviews-EI_IE40093.0,4_IL.5,14_IC1147442.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:43:05.206849+00:00
ASUS,"Tlaquepaque, JAL",tlaquepaque jal,office-location,"Tlaquepaque, JAL","https://www.glassdoor.com/Location/All-HP-Inc-Tlaquepaque-Office-Locations-EI_IE1093161.4,10_IL.11,22_IC3486348.htm","https://www.glassdoor.com/Reviews/ASUS-Tlaquepaque-Reviews-EI_IE40093.0,4_IL.5,16_IC3486348.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:43:11.252382+00:00
ASUS,"Vancouver, WA",vancouver wa,office-location,"Vancouver, WA","https://www.glassdoor.com/Location/All-HP-Inc-Vancouver-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC1150413.htm","https://www.glassdoor.com/Reviews/ASUS-Vancouver-Reviews-EI_IE40093.0,4_IL.5,14_IC1150413.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:43:22.188251+00:00
ASUS,"Zapopan, JAL",zapopan jal,office-location,"Zapopan, JAL","https://www.glassdoor.com/Location/All-HP-Inc-Zapopan-Office-Locations-EI_IE1093161.4,10_IL.11,18_IC3487018.htm","https://www.glassdoor.com/Reviews/ASUS-Zapopan-Reviews-EI_IE40093.0,4_IL.5,12_IC3487018.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:43:28.458532+00:00
ASUS,"Boulogne-Billancourt, A8",boulogne billancourt a8,office-location,"Boulogne-Billancourt, A8","https://www.glassdoor.com/Location/All-HP-Inc-Boulogne-Billancourt-Office-Locations-EI_IE1093161.4,10_IL.11,31_IC3040032.htm","https://www.glassdoor.com/Reviews/ASUS-Boulogne-Billancourt-Reviews-EI_IE40093.0,4_IL.5,25_IC3040032.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:44:57.113265+00:00
ASUS,"Bucharest, B",bucharest b,office-location,"Bucharest, B","https://www.glassdoor.com/Location/All-HP-Inc-Bucharest-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC3184907.htm","https://www.glassdoor.com/Reviews/ASUS-Bucharest-Reviews-EI_IE40093.0,4_IL.5,14_IC3184907.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:45:02.990372+00:00
ASUS,"Cambridge, ENG",cambridge eng,office-location,"Cambridge, ENG","https://www.glassdoor.com/Location/All-HP-Inc-Cambridge-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC2662516.htm","https://www.glassdoor.com/Reviews/ASUS-Cambridge-Reviews-EI_IE40093.0,4_IL.5,14_IC2662516.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:45:10.132201+00:00
ASUS,"Meudon, A8",meudon a8,office-location,"Meudon, A8","https://www.glassdoor.com/Location/All-HP-Inc-Meudon-Office-Locations-EI_IE1093161.4,10_IL.11,17_IC3019026.htm","https://www.glassdoor.com/Reviews/ASUS-Meudon-Reviews-EI_IE40093.0,4_IL.5,11_IC3019026.htm",validation_failed,gap_probe_failed: missing_target_metrics,pool-location-id,2026-06-28T08:45:18.055632+00:00
ASUS,"Paris, A8",paris a8,office-location,"Paris, A8","https://www.glassdoor.com/Location/All-HP-Inc-Paris-Office-Locations-EI_IE1093161.4,10_IL.11,16_IC2881970.htm","https://www.glassdoor.com/Reviews/ASUS-Paris-Reviews-EI_IE40093.0,4_IL.5,10_IC2881970.htm",resolved,,pool-location-id,2026-06-28T08:45:24.108752+00:00
