company,requested_region,resolved_region,country,review_url,overall,recommend,ceo_approval,total_reviews,diversity_inclusion,work_life_balance,compensation_benefits,culture_values,career_opportunities,senior_management,header_text,scraped_at,company_input_source,region_source,validation_status
ASUS,"Bellevue, WA",Bellevue,United States,"https://www.glassdoor.com/Reviews/ASUS-Bellevue-Reviews-EI_IE40093.0,4_IL.5,13_IC1150442.htm",4,100%,,1,,2,3,4,3,4,ASUS Bellevue reviews,2026-06-28T14:19:08.957976+00:00,seed,office-location,validated
ASUS,"San Jose, CA",San Jose,United States,"https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm",3,0%,0%,4,2.5,3.5,4,3,3.5,3,ASUS San Jose reviews,2026-06-28T14:19:22.233534+00:00,seed,office-location,validated
ASUS,"Toronto, ON",Toronto,Canada,"https://www.glassdoor.com/Reviews/ASUS-Toronto-Reviews-EI_IE40093.0,4_IL.5,12_IC2281069.htm",4,,,3,4,2.4,3.8,3.2,3.8,4.2,ASUS Toronto reviews,2026-06-28T14:19:31.213948+00:00,seed,office-location,validated
ASUS,"Moscow, 48",Moscow,Russia,"https://www.glassdoor.com/Reviews/ASUS-Moscow-Reviews-EI_IE40093.0,4_IL.5,11_IC3348306.htm",5,100%,,1,5,3,3,5,3,5,ASUS Moscow reviews,2026-06-28T14:19:38.007114+00:00,seed,office-location,validated
ASUS,"Munich, BY",Munich,Germany,"https://www.glassdoor.com/Reviews/ASUS-Munich-Reviews-EI_IE40093.0,4_IL.5,11_IC4990924.htm",5,,,1,,,,,,,ASUS Munich reviews,2026-06-28T14:19:47.421024+00:00,seed,office-location,validated
ASUS,"Zürich, ZH",Zürich,Switzerland,"https://www.glassdoor.com/Reviews/ASUS-Z%C3%BCrich-Reviews-EI_IE40093.0,4_IL.5,11_IC3297851.htm",3,,,1,,,,,,,ASUS Zürich reviews,2026-06-28T14:19:55.037228+00:00,seed,office-location,validated
ASUS,"Bengaluru, KA",Bengaluru,India,"https://www.glassdoor.com/Reviews/ASUS-Bengaluru-Reviews-EI_IE40093.0,4_IL.5,14_IC2940587.htm",4.6,0%,100%,7,4,4,4,5,3,3,ASUS Bengaluru reviews,2026-06-28T14:20:02.945807+00:00,seed,office-location,validated
ASUS,"Hsinchu, TXG",Hsinchu,Taiwan,"https://www.glassdoor.com/Reviews/ASUS-Hsinchu-Reviews-EI_IE40093.0,4_IL.5,12_IC4915323.htm",4,100%,,2,,4,3.9,3.9,3.9,3.9,ASUS Hsinchu reviews,2026-06-28T14:20:14.809137+00:00,seed,office-location,validated
ASUS,"Pune, MH",Pune,India,"https://www.glassdoor.com/Reviews/ASUS-Pune-Reviews-EI_IE40093.0,4_IL.5,9_IC2856202.htm",4,89%,100%,4,4.8,4.7,4.7,4.7,4.8,4.7,ASUS Pune reviews,2026-06-28T14:20:22.086201+00:00,seed,office-location,validated
ASUS,"Shanghai, 23",Shanghai,China,"https://www.glassdoor.com/Reviews/ASUS-Shanghai-Reviews-EI_IE40093.0,4_IL.5,13_IC2416009.htm",3.6,97%,0%,11,4.6,3,4.2,4.6,4.2,4.2,ASUS Shanghai reviews,2026-06-28T14:20:32.635037+00:00,seed,office-location,validated
ASUS,"San Jose, MP",San Jose,Costa Rica,"https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm",3,0%,0%,4,2.5,3.5,4,3,3.5,3,ASUS San Jose reviews,2026-06-28T14:20:32.753945+00:00,seed,office-location,validated
ASUS,"Portland, OR",Portland,United States,"https://www.glassdoor.com/Reviews/ASUS-Portland-Reviews-EI_IE40093.0,4_IL.5,13_IC1151614.htm",2.8,0%,0%,2,1,1.9,4,2.8,1.9,2.8,ASUS Portland reviews,2026-06-28T14:20:41.371201+00:00,seed,office-location,validated
ASUS,"Paris, A8",Paris,France,"https://www.glassdoor.com/Reviews/ASUS-Paris-Reviews-EI_IE40093.0,4_IL.5,10_IC2881970.htm",3.1,99%,100%,2,3.9,4.8,1.4,3.8,2.2,1.4,ASUS Paris reviews,2026-06-28T14:20:50.110087+00:00,seed,office-location,validated
ASUS,"Jeffersonville, IN",Jeffersonville,United States,"https://www.glassdoor.com/Reviews/ASUS-Jeffersonville-Reviews-EI_IE40093.0,4_IL.5,19_IC1145141.htm",2,0%,,1,,1.5,3,,2,1,ASUS Jeffersonville reviews,2026-06-28T14:20:58.943122+00:00,seed,office-location,validated
ASUS,"London, ENG",London,United Kingdom,"https://www.glassdoor.com/Reviews/ASUS-London-Reviews-EI_IE40093.0,4_IL.5,11_IC2671300.htm",3.9,100%,100%,10,4.2,4.6,4,4.1,4.1,4.1,ASUS London reviews,2026-06-28T14:21:07.114965+00:00,seed,office-location,validated
ASUS,"Chicago, IL",Chicago,United States,"https://www.glassdoor.com/Reviews/ASUS-Chicago-Reviews-EI_IE40093.0,4_IL.5,12_IC1128808.htm",2,,,1,,,,,3,,ASUS Chicago reviews,2026-06-28T14:21:16.387775+00:00,seed,office-location,validated
ASUS,"Beijing, 22",Beijing,China,"https://www.glassdoor.com/Reviews/ASUS-Beijing-Reviews-EI_IE40093.0,4_IL.5,12_IC2398510.htm",3,0%,0%,1,,2,1,1,2,3,ASUS Beijing reviews,2026-06-28T14:21:23.979179+00:00,seed,office-location,validated
ASUS,Hong Kong,Hong Kong,Hong Kong,"https://www.glassdoor.com/Reviews/ASUS-Hong-Kong-Reviews-EI_IE40093.0,4_IL.5,14_IC2308631.htm",4.5,100%,100%,5,5,3,4,5,4,5,ASUS Hong Kong reviews,2026-06-28T14:21:33.351031+00:00,seed,office-location,validated
ASUS,"Buenos Aires, C",Buenos Aires,Argentina,"https://www.glassdoor.com/Reviews/ASUS-Buenos-Aires-Reviews-EI_IE40093.0,4_IL.5,17_IC2242084.htm",2,0%,0%,0,1,1,2,1,3,1,ASUS Buenos Aires reviews,2026-06-28T14:21:41.116386+00:00,seed,office-location,validated
ASUS,Global,Global,Global,https://www.glassdoor.com/Reviews/ASUS-Reviews-E40093.htm,3.6,58%,75%,1502,3.3,3.2,3.3,3.2,3.1,2.9,ASUS reviews,2026-06-28T14:21:54.546185+00:00,seed,manual-seed,validated
ASUS,Taipei,Taipei,Taiwan,"https://www.glassdoor.com/Reviews/ASUS-Taipei-Reviews-EI_IE40093.0,4_IL.5,11_IC3271041.htm",3.8,67%,98%,530,3.3,3.8,3.3,3.1,3.5,2.8,ASUS Taipei reviews,2026-06-28T14:21:54.678715+00:00,seed,manual-seed,validated
ASUS,Hsinchu,Hsinchu,Taiwan,"https://www.glassdoor.com/Reviews/ASUS-Hsinchu-Reviews-EI_IE40093.0,4_IL.5,12_IC4915323.htm",4,100%,,2,,4,3.9,3.9,3.9,3.9,ASUS Hsinchu reviews,2026-06-28T14:21:54.867670+00:00,seed,manual-seed,validated
ASUS,Shanghai,Shanghai,China,"https://www.glassdoor.com/Reviews/ASUS-Shanghai-Reviews-EI_IE40093.0,4_IL.5,13_IC2416009.htm",3.6,97%,0%,11,4.6,3,4.2,4.6,4.2,4.2,ASUS Shanghai reviews,2026-06-28T14:21:55.072926+00:00,seed,manual-seed,validated
ASUS,Tokyo,Tokyo,Japan,"https://www.glassdoor.com/Reviews/ASUS-Tokyo-Reviews-EI_IE40093.0,4_IL.5,10_IC2851580.htm",1,0%,,2,1,1,2,1,1,3,ASUS Tokyo reviews,2026-06-28T14:21:55.424875+00:00,seed,manual-seed,validated
ASUS,Seoul,Seoul,South Korea,"https://www.glassdoor.com/Reviews/ASUS-Seoul-Reviews-EI_IE40093.0,4_IL.5,10_IC3021489.htm",3,100%,,1,3,4,2,3,4,3,ASUS Seoul reviews,2026-06-28T14:21:55.597792+00:00,seed,manual-seed,validated
ASUS,London,London,United Kingdom,"https://www.glassdoor.com/Reviews/ASUS-London-Reviews-EI_IE40093.0,4_IL.5,11_IC2671300.htm",3.9,100%,100%,10,4.2,4.6,4,4.1,4.1,4.1,ASUS London reviews,2026-06-28T14:21:55.734877+00:00,seed,manual-seed,validated
ASUS,Munich,Munich,Germany,"https://www.glassdoor.com/Reviews/ASUS-Munich-Reviews-EI_IE40093.0,4_IL.5,11_IC4990924.htm",5,,,1,,,,,,,ASUS Munich reviews,2026-06-28T14:21:56.107993+00:00,seed,manual-seed,validated
NVIDIA,"Fremont, CA",Fremont,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Fremont-Reviews-EI_IE7633.0,6_IL.7,14_IC1147355.htm",5,100%,100%,2,5,5,5,5,5,2,NVIDIA Fremont reviews,2026-06-28T14:22:04.325693+00:00,seed,office-location,validated
NVIDIA,"Budapest, BU",Budapest,Hungary,"https://www.glassdoor.com/Reviews/NVIDIA-Budapest-Reviews-EI_IE7633.0,6_IL.7,15_IC3125126.htm",5,100%,100%,1,5,5,4,5,5,5,NVIDIA Budapest reviews,2026-06-28T14:22:12.427443+00:00,seed,office-location,validated
NVIDIA,"Milan, LOM",Milan,Italy,"https://www.glassdoor.com/Reviews/NVIDIA-Milan-Reviews-EI_IE7633.0,6_IL.7,12_IC2802090.htm",4,100%,100%,0,,2,4,4,3,3,NVIDIA Milan reviews,2026-06-28T14:22:20.399723+00:00,seed,office-location,validated
NVIDIA,"Warsaw, MZ",Warsaw,Poland,"https://www.glassdoor.com/Reviews/NVIDIA-Warsaw-Reviews-EI_IE7633.0,6_IL.7,13_IC3094484.htm",4.9,100%,100%,6,4.9,4.7,4.9,4.9,5,4.9,NVIDIA Warsaw reviews,2026-06-28T14:22:29.306726+00:00,seed,office-location,validated
NVIDIA,"Mumbai, MH",Mumbai,India,"https://www.glassdoor.com/Reviews/NVIDIA-Mumbai-Reviews-EI_IE7633.0,6_IL.7,13_IC2851180.htm",4.1,99%,100%,14,4,4,4,4,4,4,NVIDIA Mumbai reviews,2026-06-28T14:22:36.376488+00:00,seed,office-location,validated
NVIDIA,"Seoul, 11",Seoul,South Korea,"https://www.glassdoor.com/Reviews/NVIDIA-Seoul-Reviews-EI_IE7633.0,6_IL.7,12_IC3021489.htm",3,100%,100%,3,3,3,3.8,3.2,3.8,3.7,NVIDIA Seoul reviews,2026-06-28T14:22:46.101441+00:00,seed,office-location,validated
NVIDIA,Singapore,Singapore,Singapore,"https://www.glassdoor.com/Reviews/NVIDIA-Singapore-Reviews-EI_IE7633.0,6_IL.7,16_IC3235921.htm",5,100%,100%,7,5,3,5,5,5,5,NVIDIA Singapore reviews,2026-06-28T14:22:54.469742+00:00,seed,office-location,validated
NVIDIA,"Taipei, TPQ",Taipei,Taiwan,"https://www.glassdoor.com/Reviews/NVIDIA-Taipei-Reviews-EI_IE7633.0,6_IL.7,13_IC3271041.htm",4.2,87%,100%,48,4.1,3.1,4.9,4.4,4.5,4,NVIDIA Taipei reviews,2026-06-28T14:23:11.504622+00:00,seed,office-location,validated
NVIDIA,"Tokyo, 40",Tokyo,Japan,"https://www.glassdoor.com/Reviews/NVIDIA-Tokyo-Reviews-EI_IE7633.0,6_IL.7,12_IC2851580.htm",4.9,82%,92%,5,2.6,2.6,3.6,3.7,3.7,2.6,NVIDIA Tokyo reviews,2026-06-28T14:23:19.491883+00:00,seed,office-location,validated
NVIDIA,"São Paulo, SP",São Paulo,Brazil,"https://www.glassdoor.com/Reviews/NVIDIA-S%C3%A3o-Paulo-Reviews-EI_IE7633.0,6_IL.7,16_IC2479061.htm",5,100%,100%,0,4,5,4.3,5,4,4.3,NVIDIA São Paulo reviews,2026-06-28T14:23:26.690940+00:00,seed,office-location,validated
NVIDIA,"Austin, TX",Austin,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Austin-Reviews-EI_IE7633.0,6_IL.7,13_IC1139761.htm",4.2,93%,91%,80,4.4,4.5,4.8,4.4,4.4,4.5,NVIDIA Austin reviews,2026-06-28T14:23:34.637564+00:00,seed,office-location,validated
NVIDIA,"Beaverton, OR",Beaverton,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Beaverton-Reviews-EI_IE7633.0,6_IL.7,16_IC1151576.htm",2,0%,100%,7,4,2,4,4,2,3,NVIDIA Beaverton reviews,2026-06-28T14:23:42.848935+00:00,seed,office-location,validated
NVIDIA,"Bellevue, WA",Bellevue,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Bellevue-Reviews-EI_IE7633.0,6_IL.7,15_IC1150442.htm",2,0%,,1,,3.5,4,,3,2,NVIDIA Bellevue reviews,2026-06-28T14:23:51.035798+00:00,seed,office-location,validated
NVIDIA,"Durham, NC",Durham,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Durham-Reviews-EI_IE7633.0,6_IL.7,13_IC1138697.htm",4.9,100%,100%,15,3.8,3.9,5,4.6,4.8,4.6,NVIDIA Durham reviews,2026-06-28T14:23:59.400207+00:00,seed,office-location,validated
NVIDIA,"Hillsboro, OR",Hillsboro,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Hillsboro-Reviews-EI_IE7633.0,6_IL.7,16_IC1151603.htm",4.9,99%,100%,16,4.8,3,5,4.1,4.9,4.2,NVIDIA Hillsboro reviews,2026-06-28T14:24:07.099425+00:00,seed,office-location,validated
NVIDIA,"Redmond, WA",Redmond,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Redmond-Reviews-EI_IE7633.0,6_IL.7,14_IC1150499.htm",4.9,96%,96%,20,4.6,4.9,4.9,4.9,4.7,4.9,NVIDIA Redmond reviews,2026-06-28T14:24:14.948977+00:00,seed,office-location,validated
NVIDIA,"Saint Louis, MO",Saint Louis,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Saint-Louis-Reviews-EI_IE7633.0,6_IL.7,18_IC1131270.htm",4,100%,100%,2,,3.9,3.9,5,2.1,4.9,NVIDIA Saint Louis reviews,2026-06-28T14:24:22.784963+00:00,seed,office-location,validated
NVIDIA,"San Francisco, CA",San Francisco,United States,"https://www.glassdoor.com/Reviews/NVIDIA-San-Francisco-Reviews-EI_IE7633.0,6_IL.7,20_IC1147401.htm",4.5,99%,99%,31,4.7,4.8,4.8,5,4.7,4.6,NVIDIA San Francisco reviews,2026-06-28T14:24:30.560020+00:00,seed,office-location,validated
NVIDIA,"San Jose, CA",San Jose,United States,"https://www.glassdoor.com/Reviews/NVIDIA-San-Jose-Reviews-EI_IE7633.0,6_IL.7,15_IC1147436.htm",4.9,99%,100%,83,4.7,3.9,4.5,4.6,4.3,4.3,NVIDIA San Jose reviews,2026-06-28T14:24:37.544820+00:00,seed,office-location,validated
NVIDIA,"Santa Clara, CA",Santa Clara,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Santa-Clara-Reviews-EI_IE7633.0,6_IL.7,18_IC1147439.htm",4.6,94%,99%,1381,4.5,4.1,4.5,4.5,4.4,4.4,NVIDIA Santa Clara reviews,2026-06-28T14:24:45.515638+00:00,seed,office-location,validated
NVIDIA,"Toronto, ON",Toronto,Canada,"https://www.glassdoor.com/Reviews/NVIDIA-Toronto-Reviews-EI_IE7633.0,6_IL.7,14_IC2281069.htm",4.9,88%,100%,23,4.8,4.5,5,4.8,4.6,4.8,NVIDIA Toronto reviews,2026-06-28T14:24:53.035247+00:00,seed,office-location,validated
NVIDIA,"Westford, MA",Westford,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Westford-Reviews-EI_IE7633.0,6_IL.7,15_IC1154720.htm",4.9,100%,100%,16,4.5,4.5,4.7,4.7,4.8,4.7,NVIDIA Westford reviews,2026-06-28T14:25:01.958530+00:00,seed,office-location,validated
NVIDIA,"Moscow, 48",Moscow,Russia,"https://www.glassdoor.com/Reviews/NVIDIA-Moscow-Reviews-EI_IE7633.0,6_IL.7,13_IC3348306.htm",5,99%,99%,23,5,4.9,4.9,5,4.9,4.6,NVIDIA Moscow reviews,2026-06-28T14:25:08.609261+00:00,seed,office-location,validated
NVIDIA,"Munich, BY",Munich,Germany,"https://www.glassdoor.com/Reviews/NVIDIA-Munich-Reviews-EI_IE7633.0,6_IL.7,13_IC4990924.htm",5,100%,100%,19,4.8,3.9,5,4.9,4.6,4.9,NVIDIA Munich reviews,2026-06-28T14:25:16.142060+00:00,seed,office-location,validated
NVIDIA,"Zürich, ZH",Zürich,Switzerland,"https://www.glassdoor.com/Reviews/NVIDIA-Z%C3%BCrich-Reviews-EI_IE7633.0,6_IL.7,13_IC3297851.htm",4.7,99%,99%,11,4.2,4.8,3.9,4.5,4.4,4.4,NVIDIA Zürich reviews,2026-06-28T14:25:23.218394+00:00,seed,office-location,validated
NVIDIA,"Bengaluru, KA",Bengaluru,India,"https://www.glassdoor.com/Reviews/NVIDIA-Bengaluru-Reviews-EI_IE7633.0,6_IL.7,16_IC2940587.htm",4.5,95%,99%,566,4.6,4.2,4.5,4.5,4.5,4.2,NVIDIA Bengaluru reviews,2026-06-28T14:25:30.434196+00:00,seed,office-location,validated
NVIDIA,"Hsinchu, TXG",Hsinchu,Taiwan,"https://www.glassdoor.com/Reviews/NVIDIA-Hsinchu-Reviews-EI_IE7633.0,6_IL.7,14_IC4915323.htm",4.1,100%,100%,9,4,3.1,4.1,4.1,4.9,4,NVIDIA Hsinchu reviews,2026-06-28T14:25:37.035194+00:00,seed,office-location,validated
NVIDIA,"Pudong, 23",Pudong,China,"https://www.glassdoor.com/Reviews/NVIDIA-Pudong-Reviews-EI_IE7633.0,6_IL.7,13_IC2415109.htm",4.8,100%,100%,8,5,4.8,4.8,5,3.8,4.2,NVIDIA Pudong reviews,2026-06-28T14:25:46.841914+00:00,seed,office-location,validated
NVIDIA,"Pune, MH",Pune,India,"https://www.glassdoor.com/Reviews/NVIDIA-Pune-Reviews-EI_IE7633.0,6_IL.7,11_IC2856202.htm",4.3,87%,93%,543,4.2,4,4.1,4.3,4.1,3.9,NVIDIA Pune reviews,2026-06-28T14:25:53.809996+00:00,seed,office-location,validated
NVIDIA,"Shanghai, 23",Shanghai,China,"https://www.glassdoor.com/Reviews/NVIDIA-Shanghai-Reviews-EI_IE7633.0,6_IL.7,15_IC2416009.htm",4.4,83%,83%,47,4.3,4.8,4.3,4.2,4.2,4.1,NVIDIA Shanghai reviews,2026-06-28T14:26:01.576145+00:00,seed,office-location,validated
NVIDIA,"San Jose, MP",San Jose,Costa Rica,"https://www.glassdoor.com/Reviews/NVIDIA-San-Jose-Reviews-EI_IE7633.0,6_IL.7,15_IC1147436.htm",4.9,99%,100%,83,4.7,3.9,4.5,4.6,4.3,4.3,NVIDIA San Jose reviews,2026-06-28T14:26:01.649485+00:00,seed,office-location,validated
NVIDIA,"Houston, TX",Houston,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Houston-Reviews-EI_IE7633.0,6_IL.7,14_IC1140171.htm",5,100%,100%,4,5,5,5,5,5,5,NVIDIA Houston reviews,2026-06-28T14:26:09.383708+00:00,seed,office-location,validated
NVIDIA,"Palo Alto, CA",Palo Alto,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Palo-Alto-Reviews-EI_IE7633.0,6_IL.7,16_IC1147434.htm",4.8,100%,100%,3,5,5,5,5,5,5,NVIDIA Palo Alto reviews,2026-06-28T14:26:18.886454+00:00,seed,office-location,validated
NVIDIA,"Portland, OR",Portland,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Portland-Reviews-EI_IE7633.0,6_IL.7,15_IC1151614.htm",4.5,100%,100%,9,4.5,3.9,5,4.5,5,5,NVIDIA Portland reviews,2026-06-28T14:26:32.857759+00:00,seed,office-location,validated
NVIDIA,"San Diego, CA",San Diego,United States,"https://www.glassdoor.com/Reviews/NVIDIA-San-Diego-Reviews-EI_IE7633.0,6_IL.7,16_IC1147311.htm",5,99%,99%,11,5,5,4.6,5,5,5,NVIDIA San Diego reviews,2026-06-28T14:26:41.510455+00:00,seed,office-location,validated
NVIDIA,"Sunnyvale, CA",Sunnyvale,United States,"https://www.glassdoor.com/Reviews/NVIDIA-Sunnyvale-Reviews-EI_IE7633.0,6_IL.7,16_IC1147442.htm",5,100%,100%,6,5,5,5,5,4.9,4,NVIDIA Sunnyvale reviews,2026-06-28T14:26:49.655504+00:00,seed,office-location,validated
NVIDIA,"Cambridge, ENG",Cambridge,United Kingdom,"https://www.glassdoor.com/Reviews/NVIDIA-Cambridge-Reviews-EI_IE7633.0,6_IL.7,16_IC2662516.htm",4.2,100%,100%,7,4.1,4.2,4.2,4.2,4.2,4.2,NVIDIA Cambridge reviews,2026-06-28T14:26:57.545478+00:00,seed,office-location,validated
